12
1	1	0.0
1	1	1
1	2	1.0
1	2	1
1	3	1.0
1	3	1
1	4	0.0
1	4	0
1	5	0.0
1	5	0
1	6	1.0
1	6	1
1	7	2.0
1	7	1
1	8	-1.0
1	8	1
1	9	0.0
1	9	0
1	10	1.0
1	10	1
1	11	1.0
1	11	1
1	12	0.0
1	12	0
2	2	0.0
2	2	7
2	3	-0.6666666666666666
2	3	6
2	4	-2.5
2	4	4
2	5	-3.0
2	5	3
2	6	0.0
2	6	5
2	7	-0.4
2	7	5
2	8	-1.6666666666666667
2	8	3
2	9	-3.3333333333333335
2	9	3
2	10	0.4
2	10	5
2	11	-1.2
2	11	5
2	12	-1.0
2	12	3
3	3	0.0
3	3	7
3	4	-2.3333333333333335
3	4	3
3	5	-1.75
3	5	4
3	6	0.8
3	6	5
3	7	0.25
3	7	4
3	8	-1.25
3	8	4
3	9	-1.6666666666666667
3	9	3
3	10	1.0
3	10	5
3	11	-0.8
3	11	5
3	12	0.0
3	12	4
4	4	0.0
4	4	6
4	5	-1.0
4	5	3
4	6	2.25
4	6	4
4	7	2.25
4	7	4
4	8	1.0
4	8	3
4	9	-0.6666666666666666
4	9	3
4	10	2.3333333333333335
4	10	3
4	11	2.0
4	11	2
4	12	1.0
4	12	3
5	5	0.0
5	5	6
5	6	3.0
5	6	3
5	7	2.6666666666666665
5	7	3
5	8	1.6666666666666667
5	8	3
5	9	0.0
5	9	4
5	10	3.0
5	10	3
5	11	0.75
5	11	4
5	12	1.75
5	12	4
6	6	0.0
6	6	7
6	7	-0.2
6	7	5
6	8	-1.6666666666666667
6	8	3
6	9	-2.75
6	9	4
6	10	0.0
6	10	5
6	11	-1.0
6	11	4
6	12	-1.5
6	12	4
7	7	0.0
7	7	6
7	8	-2.0
7	8	2
7	9	-3.0
7	9	4
7	10	0.25
7	10	4
7	11	-0.75
7	11	4
7	12	-0.75
7	12	4
8	8	0.0
8	8	5
8	9	-1.0
8	9	2
8	10	2.0
8	10	2
8	11	0.3333333333333333
8	11	3
8	12	0.5
8	12	2
9	9	0.0
9	9	5
9	10	3.5
9	10	2
9	11	1.25
9	11	4
9	12	1.75
9	12	4
10	10	0.0
10	10	6
10	11	-1.6666666666666667
10	11	3
10	12	-1.3333333333333333
10	12	3
11	11	0.0
11	11	6
11	12	1.3333333333333333
11	12	3
12	12	0.0
12	12	5
